Senators,Percent Shared Followers,
@CoryBooker and @KamalaHarris Shared Followers,0.155276,
@CoryBooker and @SenSanders Shared Followers,0.073454,
@CoryBooker and @SenSchumer Shared Followers,0.138874,
@CoryBooker and @SenWarren Shared Followers,0.192814,
@CoryBooker and @timkaine Shared Followers,0.10327,
@KamalaHarris and @SenSanders Shared Followers,0.129968,
@KamalaHarris and @SenSchumer Shared Followers,0.331604,
@KamalaHarris and @SenWarren Shared Followers,0.238312,
@KamalaHarris and @timkaine Shared Followers,0.227218,
@SenSanders and @SenSchumer Shared Followers,0.100298,
@SenSanders and @SenWarren Shared Followers,0.35597,
@SenSanders and @timkaine Shared Followers,0.064258,
@SenSchumer and @SenWarren Shared Followers,0.180108,
@SenSchumer and @timkaine Shared Followers,0.237538,
@SenWarren and @timkaine Shared Followers,0.121684,
,,
Average,0.176709733,
High,0.35597,(Sanders and Warren)
Low,0.064258,(Sanders and Tim Kaine)
