Senators,Percent Shared Followers
@CoryBooker and @marcorubio Shared Followers,0.250246
@CoryBooker and @RandPaul Shared Followers,0.151974
@CoryBooker and @SenJohnMcCain Shared Followers,0.11449
@CoryBooker and @SenTedCruz Shared Followers,0.030152
@KamalaHarris and @marcorubio Shared Followers,0.12041
@KamalaHarris and @RandPaul Shared Followers,0.128728
@KamalaHarris and @SenJohnMcCain Shared Followers,0.215544
@KamalaHarris and @SenTedCruz Shared Followers,0.045992
@SenSanders and @marcorubio Shared Followers,0.071404
@SenSanders and @RandPaul Shared Followers,0.119226
@SenSanders and @SenJohnMcCain Shared Followers,0.123966
@SenSanders and @SenTedCruz Shared Followers,0.012914
@SenSchumer and @marcorubio Shared Followers,0.1291
@SenSchumer and @RandPaul Shared Followers,0.144008
@SenSchumer and @SenJohnMcCain Shared Followers,0.223964
@SenSchumer and @SenTedCruz Shared Followers,0.069194
@SenWarren and @marcorubio Shared Followers,0.160568
@SenWarren and @RandPaul Shared Followers,0.163896
@SenWarren and @SenJohnMcCain Shared Followers,0.206554
@SenWarren and @SenTedCruz Shared Followers,0.028306
@timkaine and @marcorubio Shared Followers,0.095276
@timkaine and @RandPaul Shared Followers,0.138638
@timkaine and @SenJohnMcCain Shared Followers,0.167232
@timkaine and @SenTedCruz Shared Followers,0.084178
,
Average,0.124831667
